,dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
33,parsed-facebook_combined-4.csv,GraphBIG,BFS,4039,88234,4,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00416214387909091
34,parsed-facebook_combined-4.csv,GraphMat,BFS,4039,88234,4,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.000424875
35,parsed-facebook_combined-4.csv,GAP,PageRank,4039,88234,4,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0040325
36,parsed-facebook_combined-4.csv,GraphBIG,PageRank,4039,88234,4,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.03066300625
37,parsed-facebook_combined-4.csv,GraphMat,PageRank,4039,88234,4,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.02149825
38,parsed-facebook_combined-4.csv,PowerGraph,PageRank,4039,88234,4,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0875
39,parsed-facebook_combined-4.csv,GAP,SSSP,4039,88234,4,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.002128125
40,parsed-facebook_combined-4.csv,GraphBIG,SSSP,4039,88234,4,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00415168113727273
41,parsed-facebook_combined-4.csv,GraphMat,SSSP,4039,88234,4,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0004951875
42,parsed-facebook_combined-4.csv,PowerGraph,SSSP,4039,88234,4,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0375
43,parsed-facebook_combined-8.csv,GAP,BFS,4039,88234,8,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.000315625
44,parsed-facebook_combined-8.csv,GraphBIG,BFS,4039,88234,8,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00440581385363636
45,parsed-facebook_combined-8.csv,GraphMat,BFS,4039,88234,8,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0004633125
46,parsed-facebook_combined-8.csv,GAP,PageRank,4039,88234,8,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00472625
47,parsed-facebook_combined-8.csv,GraphBIG,PageRank,4039,88234,8,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0365931875
48,parsed-facebook_combined-8.csv,GraphMat,PageRank,4039,88234,8,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.014623625
49,parsed-facebook_combined-8.csv,PowerGraph,PageRank,4039,88234,8,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.1
50,parsed-facebook_combined-8.csv,GAP,SSSP,4039,88234,8,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.003196875
51,parsed-facebook_combined-8.csv,GraphBIG,SSSP,4039,88234,8,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00429237951818182
52,parsed-facebook_combined-8.csv,GraphMat,SSSP,4039,88234,8,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.000551
53,parsed-facebook_combined-8.csv,PowerGraph,SSSP,4039,88234,8,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0625
54,parsed-facebook_combined-16.csv,GAP,BFS,4039,88234,16,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00049
