dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
parsed-email-Enron-2.csv,Galois,BFS,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,0.0141875
parsed-email-Enron-2.csv,GAP,BFS,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,0.000619063
parsed-email-Enron-2.csv,GraphBIG,BFS,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,7.93E-06
parsed-email-Enron-2.csv,GraphMat,BFS,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,0.001913344
parsed-facebook_combined-1.csv,Galois,BFS,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.007375
parsed-facebook_combined-1.csv,GAP,BFS,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.000129063
parsed-facebook_combined-1.csv,GraphBIG,BFS,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,4.69E-07
parsed-facebook_combined-1.csv,GraphMat,BFS,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.000424406
parsed-facebook_combined-2.csv,GraphBIG,BFS,4039,88234,2,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.004415665
parsed-facebook_combined-4.csv,GAP,BFS,4039,88234,4,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.0002625
parsed-facebook_combined-4.csv,GraphBIG,BFS,4039,88234,4,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.004162144
parsed-facebook_combined-4.csv,GraphMat,BFS,4039,88234,4,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.000424875
parsed-facebook_combined-8.csv,GAP,BFS,4039,88234,8,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.000315625
parsed-facebook_combined-8.csv,GraphBIG,BFS,4039,88234,8,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.004405814
parsed-facebook_combined-8.csv,GraphMat,BFS,4039,88234,8,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.000463313
parsed-facebook_combined-16.csv,GAP,BFS,4039,88234,16,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.00049
parsed-facebook_combined-16.csv,GraphBIG,BFS,4039,88234,16,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.004210889
parsed-facebook_combined-16.csv,GraphMat,BFS,4039,88234,16,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.00055775
parsed-facebook_combined-24.csv,GAP,BFS,4039,88234,24,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.00068375
parsed-facebook_combined-24.csv,GraphBIG,BFS,4039,88234,24,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.004169415
parsed-facebook_combined-24.csv,GraphMat,BFS,4039,88234,24,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.000724125
parsed-facebook_combined-32.csv,GAP,BFS,4039,88234,32,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.0014925
parsed-facebook_combined-32.csv,GraphBIG,BFS,4039,88234,32,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.004564563
parsed-facebook_combined-32.csv,GraphMat,BFS,4039,88234,32,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.014748938
parsed-facebook_combined-40.csv,GAP,BFS,4039,88234,40,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.00181
parsed-facebook_combined-40.csv,GraphBIG,BFS,4039,88234,40,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.004678713
parsed-facebook_combined-40.csv,GraphMat,BFS,4039,88234,40,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.001558375
parsed-facebook_combined-48.csv,GAP,BFS,4039,88234,48,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.002131875
parsed-facebook_combined-48.csv,GraphBIG,BFS,4039,88234,48,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.004508914
parsed-facebook_combined-48.csv,GraphMat,BFS,4039,88234,48,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.0039175
parsed-facebook_combined-56.csv,GAP,BFS,4039,88234,56,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.00253875
parsed-facebook_combined-56.csv,GraphBIG,BFS,4039,88234,56,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.004617808
parsed-facebook_combined-56.csv,GraphMat,BFS,4039,88234,56,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.004629875
parsed-cit-Patents-1.csv,GAP,BFS,3774768,16518948,1,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.303444375
parsed-cit-Patents-1.csv,GraphBIG,BFS,3774768,16518948,1,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,5.51E-07
parsed-cit-Patents-1.csv,GraphMat,BFS,3774768,16518948,1,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.943189
parsed-cit-Patents-2.csv,GAP,BFS,3774768,16518948,2,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.18048375
parsed-cit-Patents-2.csv,GraphBIG,BFS,3774768,16518948,2,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,1.62E-05
parsed-cit-Patents-2.csv,GraphMat,BFS,3774768,16518948,2,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.690440688
parsed-cit-Patents-4.csv,GAP,BFS,3774768,16518948,4,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.0956
parsed-cit-Patents-4.csv,GraphBIG,BFS,3774768,16518948,4,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,2.29E-05
parsed-cit-Patents-4.csv,GraphMat,BFS,3774768,16518948,4,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.45378425
parsed-cit-Patents-8.csv,GAP,BFS,3774768,16518948,8,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.052659375
parsed-cit-Patents-8.csv,GraphBIG,BFS,3774768,16518948,8,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,2.93E-05
parsed-cit-Patents-8.csv,GraphMat,BFS,3774768,16518948,8,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.303933438
parsed-cit-Patents-16.csv,GAP,BFS,3774768,16518948,16,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.03177375
parsed-cit-Patents-16.csv,GraphBIG,BFS,3774768,16518948,16,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,4.26E-05
