package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,122.5582
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.47953077
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.39616
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.10633
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.7328
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.60127308
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.35568
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.08166
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.4736
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.99863846
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,47.77468
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.10045
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,123.3816
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,43.16680385
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.57674
GAP,TC,1048576,16777216,1,nan,NA,NA,NA,NA,NA,NA,NA,NA,14.11133
GraphBIG,TC,1048576,16777216,1,nan,NA,NA,NA,NA,NA,NA,NA,NA,117.3218
GraphMat,TC,1048576,16777216,1,nan,NA,NA,NA,NA,NA,NA,NA,NA,42.87200385
PowerGraph,TC,1048576,16777216,1,nan,NA,NA,NA,NA,NA,NA,NA,NA,46.1826
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.10363
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,118.5068
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,43.63247692
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.57798
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.10146
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,118.963
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,43.55716923
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,45.8995
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,15.40379
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,119.3388
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.77640385
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,45.18276
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.87397
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.6854
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.52286154
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,47.01104
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.09342
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.5648
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,43.01836538
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,48.76628
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.08523
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.9788
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.87966923
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,49.53394
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.05418
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.1872
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.6585
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.75496
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.36521
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,118.2418
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,43.03891154
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,47.9431
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.03293
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.3088
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.98868462
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.52902
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.65461
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,128.6852
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.71030769
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,48.39858
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.34629
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,136.483
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.56656154
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.3646
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.40491
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,119.2614
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,41.85099615
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.74772
