dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
parsed-kron-20_0.1_0.0_0.0-1.csv,GAP,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,14.04826
parsed-kron-20_0.1_0.0_0.0-1.csv,GraphBIG,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,117.2828
parsed-kron-20_0.1_0.0_0.0-1.csv,GraphMat,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,42.46323462
parsed-kron-20_0.1_0.0_0.0-1.csv,PowerGraph,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,46.6125
parsed-kron-20_0.1_0.0_0.1-1.csv,GAP,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,14.06234
parsed-kron-20_0.1_0.0_0.1-1.csv,GraphMat,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,42.45136
parsed-kron-20_0.1_0.0_0.2-1.csv,GAP,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,14.09408
parsed-kron-20_0.1_0.0_0.2-1.csv,GraphBIG,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,119.8376
parsed-kron-20_0.1_0.0_0.2-1.csv,GraphMat,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,43.09865
parsed-kron-20_0.1_0.0_0.2-1.csv,PowerGraph,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,47.42308
parsed-kron-20_0.1_0.0_0.3-1.csv,GAP,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,15.18774
parsed-kron-20_0.1_0.0_0.3-1.csv,GraphBIG,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,118.0414
parsed-kron-20_0.1_0.0_0.3-1.csv,GraphMat,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,43.13128077
parsed-kron-20_0.1_0.0_0.3-1.csv,PowerGraph,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,46.8427
parsed-kron-20_0.1_0.0_0.4-1.csv,GAP,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,14.05386
parsed-kron-20_0.1_0.0_0.4-1.csv,GraphBIG,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,136.382
parsed-kron-20_0.1_0.0_0.4-1.csv,GraphMat,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,42.34538077
parsed-kron-20_0.1_0.0_0.4-1.csv,PowerGraph,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,46.10146
parsed-kron-20_0.1_0.0_0.5-1.csv,GAP,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,14.10522
parsed-kron-20_0.1_0.0_0.5-1.csv,GraphMat,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,42.45738571
parsed-kron-20_0.1_0.0_0.6-1.csv,GAP,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,14.06277
parsed-kron-20_0.1_0.0_0.6-1.csv,GraphBIG,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,117.5378
parsed-kron-20_0.1_0.0_0.6-1.csv,GraphMat,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,43.29868846
parsed-kron-20_0.1_0.0_0.6-1.csv,PowerGraph,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,46.6841
parsed-kron-20_0.1_0.0_0.7-1.csv,GAP,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,14.06904
parsed-kron-20_0.1_0.0_0.7-1.csv,GraphBIG,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,119.5126
parsed-kron-20_0.1_0.0_0.7-1.csv,GraphMat,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,42.70863846
parsed-kron-20_0.1_0.0_0.7-1.csv,PowerGraph,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,46.46224
parsed-kron-20_0.1_0.1_0.0-1.csv,GAP,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,14.03916
parsed-kron-20_0.1_0.1_0.0-1.csv,GraphBIG,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,124.9638
parsed-kron-20_0.1_0.1_0.0-1.csv,GraphMat,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,42.28420385
parsed-kron-20_0.1_0.1_0.0-1.csv,PowerGraph,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,47.2418
parsed-kron-20_0.1_0.1_0.1-1.csv,GAP,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,14.35625
parsed-kron-20_0.1_0.1_0.1-1.csv,GraphBIG,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,117.3698
parsed-kron-20_0.1_0.1_0.1-1.csv,GraphMat,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,42.36535769
parsed-kron-20_0.1_0.1_0.1-1.csv,PowerGraph,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,46.95112
parsed-kron-20_0.1_0.1_0.2-1.csv,GAP,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,15.185
parsed-kron-20_0.1_0.1_0.2-1.csv,GraphBIG,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,117.2776
parsed-kron-20_0.1_0.1_0.2-1.csv,GraphMat,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,42.36356538
parsed-kron-20_0.1_0.1_0.2-1.csv,PowerGraph,TC,1048576,16777216,1,0.999,1,0.999,1,0.0957,423625371,0.01322,7,3.6,46.4426
