dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
parsed-cit-Patents-1.csv,GraphBIG,SSSP,3774768,16518948,1,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,6.26E-07
parsed-cit-Patents-1.csv,GraphMat,SSSP,3774768,16518948,1,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.995270063
parsed-cit-Patents-1.csv,PowerGraph,SSSP,3774768,16518948,1,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,3.25
parsed-cit-Patents-2.csv,GAP,SSSP,3774768,16518948,2,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.004213125
parsed-cit-Patents-2.csv,GraphBIG,SSSP,3774768,16518948,2,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.00132662
parsed-cit-Patents-2.csv,GraphMat,SSSP,3774768,16518948,2,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.704361875
parsed-cit-Patents-2.csv,PowerGraph,SSSP,3774768,16518948,2,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,3.14375
parsed-cit-Patents-4.csv,GAP,SSSP,3774768,16518948,4,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.004578125
parsed-cit-Patents-4.csv,GraphBIG,SSSP,3774768,16518948,4,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.00139591
parsed-cit-Patents-4.csv,GraphMat,SSSP,3774768,16518948,4,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.433559813
parsed-cit-Patents-4.csv,PowerGraph,SSSP,3774768,16518948,4,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,3.15625
parsed-cit-Patents-8.csv,GAP,SSSP,3774768,16518948,8,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.005940625
parsed-cit-Patents-8.csv,GraphBIG,SSSP,3774768,16518948,8,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.001390472
parsed-cit-Patents-8.csv,GraphMat,SSSP,3774768,16518948,8,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.27816925
parsed-cit-Patents-8.csv,PowerGraph,SSSP,3774768,16518948,8,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,1.41875
parsed-cit-Patents-16.csv,GAP,SSSP,3774768,16518948,16,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.009630625
parsed-cit-Patents-16.csv,GraphBIG,SSSP,3774768,16518948,16,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.001397372
parsed-cit-Patents-16.csv,GraphMat,SSSP,3774768,16518948,16,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.153710938
parsed-cit-Patents-16.csv,PowerGraph,SSSP,3774768,16518948,16,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.956250125
parsed-cit-Patents-24.csv,GAP,SSSP,3774768,16518948,24,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.014388125
parsed-cit-Patents-24.csv,GraphBIG,SSSP,3774768,16518948,24,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.001438513
parsed-cit-Patents-24.csv,GraphMat,SSSP,3774768,16518948,24,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.121066813
parsed-cit-Patents-24.csv,PowerGraph,SSSP,3774768,16518948,24,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.78124975
parsed-cit-Patents-32.csv,GAP,SSSP,3774768,16518948,32,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.057325
parsed-cit-Patents-32.csv,GraphBIG,SSSP,3774768,16518948,32,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.001632884
parsed-cit-Patents-32.csv,GraphMat,SSSP,3774768,16518948,32,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.18883475
parsed-cit-Patents-32.csv,PowerGraph,SSSP,3774768,16518948,32,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.731249813
parsed-cit-Patents-40.csv,GAP,SSSP,3774768,16518948,40,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.076899375
parsed-cit-Patents-40.csv,GraphBIG,SSSP,3774768,16518948,40,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.00167337
