package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
GAP,BFS,3774768,16518948,40,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.028775
GraphBIG,BFS,3774768,16518948,40,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.000344202
GraphMat,BFS,3774768,16518948,40,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.304813125
GAP,BFS,3774768,16518948,48,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.029416875
GraphBIG,BFS,3774768,16518948,48,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.000387013
GraphMat,BFS,3774768,16518948,48,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.45161
GAP,BFS,3774768,16518948,56,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.030075
GraphBIG,BFS,3774768,16518948,56,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.000420004
GraphMat,BFS,3774768,16518948,56,3764117,16511741,1,0,0.0757,7515023,0.02343,22,9.4,0.45156825
GAP,BFS,685230,7600595,1,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.03368
GraphBIG,BFS,685230,7600595,1,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.000001058
GraphMat,BFS,685230,7600595,1,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.1804795
GAP,BFS,685230,7600595,2,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.020029375
GraphBIG,BFS,685230,7600595,2,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,1.44E-05
GraphMat,BFS,685230,7600595,2,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.122304875
GAP,BFS,685230,7600595,4,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.0118075
GraphBIG,BFS,685230,7600595,4,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,1.91E-05
GraphMat,BFS,685230,7600595,4,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.076406438
GAP,BFS,685230,7600595,8,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.008010625
GraphBIG,BFS,685230,7600595,8,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,2.45E-05
