package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
GraphBIG,SSSP,3774768,16518948,8,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.001390472
GraphMat,SSSP,3774768,16518948,8,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.27816925
PowerGraph,SSSP,3774768,16518948,8,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,1.41875
GAP,SSSP,3774768,16518948,16,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.009630625
GraphBIG,SSSP,3774768,16518948,16,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.001397372
GraphMat,SSSP,3774768,16518948,16,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.153710938
PowerGraph,SSSP,3774768,16518948,16,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.956250125
GAP,SSSP,3774768,16518948,24,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.014388125
GraphBIG,SSSP,3774768,16518948,24,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.001438513
GraphMat,SSSP,3774768,16518948,24,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.121066813
PowerGraph,SSSP,3774768,16518948,24,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.78124975
GAP,SSSP,3774768,16518948,32,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.057325
GraphBIG,SSSP,3774768,16518948,32,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.001632884
GraphMat,SSSP,3774768,16518948,32,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.18883475
PowerGraph,SSSP,3774768,16518948,32,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.731249813
GAP,SSSP,3774768,16518948,40,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.076899375
GraphBIG,SSSP,3774768,16518948,40,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.00167337
GraphMat,SSSP,3774768,16518948,40,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.262274
PowerGraph,SSSP,3774768,16518948,40,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.768749813
GAP,SSSP,3774768,16518948,48,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.09256875
GraphBIG,SSSP,3774768,16518948,48,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.001746863
GraphMat,SSSP,3774768,16518948,48,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.3619615
PowerGraph,SSSP,3774768,16518948,48,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.731249938
GAP,SSSP,3774768,16518948,56,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.10973625
GraphBIG,SSSP,3774768,16518948,56,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.001925854
