package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
Galois,PageRank,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,0.05134375
GAP,PageRank,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,0.023257188
GraphBIG,PageRank,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,0.177734469
GraphMat,PageRank,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,0.114122781
PowerGraph,PageRank,36692,183831,2,0.918,0.984,0.918,0.984,0.497,727044,0.03015,11,4.8,1.85625
Galois,PageRank,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.01371875
GAP,PageRank,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.007743125
GraphBIG,PageRank,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.028276519
GraphMat,PageRank,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.036855719
PowerGraph,PageRank,4039,88234,1,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.090625
GraphBIG,PageRank,4039,88234,2,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.023774872
GAP,PageRank,4039,88234,4,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.0040325
GraphBIG,PageRank,4039,88234,4,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.030663006
GraphMat,PageRank,4039,88234,4,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.02149825
PowerGraph,PageRank,4039,88234,4,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.0875
GAP,PageRank,4039,88234,8,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.00472625
GraphBIG,PageRank,4039,88234,8,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.036593188
GraphMat,PageRank,4039,88234,8,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.014623625
PowerGraph,PageRank,4039,88234,8,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.1
GAP,PageRank,4039,88234,16,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.005894375
GraphBIG,PageRank,4039,88234,16,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.040361153
GraphMat,PageRank,4039,88234,16,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.015244563
PowerGraph,PageRank,4039,88234,16,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.0875
GAP,PageRank,4039,88234,24,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.00564375
GraphBIG,PageRank,4039,88234,24,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.019731138
GraphMat,PageRank,4039,88234,24,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.018057125
PowerGraph,PageRank,4039,88234,24,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.075
GAP,PageRank,4039,88234,32,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.008896875
GraphBIG,PageRank,4039,88234,32,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.0216424
GraphMat,PageRank,4039,88234,32,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.018052625
PowerGraph,PageRank,4039,88234,32,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.05
GAP,PageRank,4039,88234,40,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.009509375
GraphBIG,PageRank,4039,88234,40,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.021528753
GraphMat,PageRank,4039,88234,40,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.037536
PowerGraph,PageRank,4039,88234,40,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.05
GAP,PageRank,4039,88234,48,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.01037375
GraphBIG,PageRank,4039,88234,48,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.022216834
GraphMat,PageRank,4039,88234,48,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.025240625
PowerGraph,PageRank,4039,88234,48,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.05625
GAP,PageRank,4039,88234,56,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.011295
GraphBIG,PageRank,4039,88234,56,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.021854625
GraphMat,PageRank,4039,88234,56,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.032432813
PowerGraph,PageRank,4039,88234,56,1,1,1,1,0.6055,1612010,0.2647,8,4.7,0.05625
GAP,PageRank,3774768,16518948,1,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,7.7411775
GraphBIG,PageRank,3774768,16518948,1,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,9.4551125
GraphMat,PageRank,3774768,16518948,1,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,38.73105
PowerGraph,PageRank,3774768,16518948,1,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,15.7
GAP,PageRank,3774768,16518948,2,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,5.52658125
GraphBIG,PageRank,3774768,16518948,2,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,7.529043125
GraphMat,PageRank,3774768,16518948,2,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,24.90758125
PowerGraph,PageRank,3774768,16518948,2,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,16.6125
GAP,PageRank,3774768,16518948,4,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,2.864855625
GraphBIG,PageRank,3774768,16518948,4,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,7.02498125
GraphMat,PageRank,3774768,16518948,4,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,13.49874375
PowerGraph,PageRank,3774768,16518948,4,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,15.825
GAP,PageRank,3774768,16518948,8,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,1.480665
GraphBIG,PageRank,3774768,16518948,8,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,6.46354375
GraphMat,PageRank,3774768,16518948,8,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,7.97006
PowerGraph,PageRank,3774768,16518948,8,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,8.5875
GAP,PageRank,3774768,16518948,16,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.808068125
GraphBIG,PageRank,3774768,16518948,16,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,6.09993375
GraphMat,PageRank,3774768,16518948,16,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,4.537408125
PowerGraph,PageRank,3774768,16518948,16,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,5.275
GAP,PageRank,3774768,16518948,24,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.63744125
GraphBIG,PageRank,3774768,16518948,24,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,5.5150475
GraphMat,PageRank,3774768,16518948,24,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,3.557500625
PowerGraph,PageRank,3774768,16518948,24,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,4.3125
GAP,PageRank,3774768,16518948,32,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.6200975
GraphBIG,PageRank,3774768,16518948,32,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,5.292059375
GraphMat,PageRank,3774768,16518948,32,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,5.063819375
PowerGraph,PageRank,3774768,16518948,32,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,3.91875
GAP,PageRank,3774768,16518948,40,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.6198475
GraphBIG,PageRank,3774768,16518948,40,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,5.159355625
GraphMat,PageRank,3774768,16518948,40,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,5.368960625
PowerGraph,PageRank,3774768,16518948,40,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,3.85625
GAP,PageRank,3774768,16518948,48,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.6303775
GraphBIG,PageRank,3774768,16518948,48,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,5.168606875
GraphMat,PageRank,3774768,16518948,48,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,5.200305625
PowerGraph,PageRank,3774768,16518948,48,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,4.01875
GAP,PageRank,3774768,16518948,56,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.625585625
GraphBIG,PageRank,3774768,16518948,56,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,5.31338625
GraphMat,PageRank,3774768,16518948,56,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,6.06127
PowerGraph,PageRank,3774768,16518948,56,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,4.19375
GAP,PageRank,685230,7600595,1,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.707109375
GraphBIG,PageRank,685230,7600595,1,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,3.98427375
GraphMat,PageRank,685230,7600595,1,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,4.157635625
PowerGraph,PageRank,685230,7600595,1,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,22.625
GAP,PageRank,685230,7600595,2,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.557155
GraphBIG,PageRank,685230,7600595,2,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,5.487545
GraphMat,PageRank,685230,7600595,2,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,2.24331125
PowerGraph,PageRank,685230,7600595,2,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,23.5125
