Unnamed: 0,dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
103,parsed-facebook_combined-48.csv,GraphMat,PageRank,4039,88234,48,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.025240625
104,parsed-facebook_combined-48.csv,PowerGraph,PageRank,4039,88234,48,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.05625
112,parsed-facebook_combined-56.csv,GAP,PageRank,4039,88234,56,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.011295
113,parsed-facebook_combined-56.csv,GraphBIG,PageRank,4039,88234,56,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.021854625
114,parsed-facebook_combined-56.csv,GraphMat,PageRank,4039,88234,56,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.032432813
115,parsed-facebook_combined-56.csv,PowerGraph,PageRank,4039,88234,56,1.0,1.0,1.0,1.0,0.6055,1612010.0,0.2647,8.0,4.7,0.05625
233,parsed-web-BerkStan-1.csv,GAP,PageRank,685230,7600595,1,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.707109375
234,parsed-web-BerkStan-1.csv,GraphBIG,PageRank,685230,7600595,1,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,3.98427375
235,parsed-web-BerkStan-1.csv,GraphMat,PageRank,685230,7600595,1,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,4.157635625
236,parsed-web-BerkStan-1.csv,PowerGraph,PageRank,685230,7600595,1,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,22.625
244,parsed-web-BerkStan-2.csv,GAP,PageRank,685230,7600595,2,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.557155
245,parsed-web-BerkStan-2.csv,GraphBIG,PageRank,685230,7600595,2,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,5.487545
246,parsed-web-BerkStan-2.csv,GraphMat,PageRank,685230,7600595,2,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,2.24331125
247,parsed-web-BerkStan-2.csv,PowerGraph,PageRank,685230,7600595,2,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,23.5125
