package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,classif
3,0,1379917,1921660,32,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,bad
4,0,1379917,1921660,32,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,good
1,0,1379917,1921660,40,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,good
0,0,1379917,1921660,40,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,bad
2,0,1379917,1921660,40,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,good
3,0,1379917,1921660,40,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,bad
4,0,1379917,1921660,40,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,good
1,0,1379917,1921660,48,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,good
0,0,1379917,1921660,48,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,bad
2,0,1379917,1921660,48,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,good
3,0,1379917,1921660,48,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,bad
4,0,1379917,1921660,48,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,good
1,0,1379917,1921660,56,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,good
0,0,1379917,1921660,56,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,bad
2,0,1379917,1921660,56,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,good
3,0,1379917,1921660,56,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,bad
4,0,1379917,1921660,56,0.979,0.978,0.979,0.978,0.047,82869.0,0.02091,1056.0,670.0,good
1,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
0,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,bad
2,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
3,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,bad
4,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
2,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
1,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,bad
0,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
2,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,bad
3,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
4,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
1,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,bad
0,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
2,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,bad
3,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
4,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
1,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,bad
0,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
2,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,bad
3,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
4,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
2,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,bad
1,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
0,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,bad
2,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
3,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
4,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,bad
1,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
0,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,bad
2,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
3,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
4,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,bad
1,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
0,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,bad
2,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
3,0,1048576,16777216,1,0.999,1.0,0.999,1.0,0.0957,423625371.0,0.01322,7.0,3.6,good
