CPU Model	Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz
CPU Sockets	2
CPU Cores	72
CPU Clock	3600 MHz
RAM Size	251.794Gib
RAM Freq	2133MHz
GPU Model	ASPEED Graphics Family GM204 [GeForce GTX 980]
