algorithm,execution_phase,scale,edges_per_vertex,RMAT_type,insertion_percent,changed_vertices,threads,measurement,value
CC,All,24,8,G,75,1000000,1,Time (s),18.212755
CC,All,24,8,G,75,1000000,1,Time (s),17.683110
Galois,All,24,8,ER,75,1000000,2,Time (s),0.603
Galois,All,24,8,ER,75,1000000,2,Time (s),0.594
Galois,All,24,8,ER,75,1000000,2,Time (s),0.616
Galois,All,24,8,ER,75,1000000,2,Time (s),0.564
Galois,All,24,8,ER,75,1000000,2,Time (s),0.6
Galois,All,24,8,ER,75,1000000,2,Time (s),0.594
Galois,All,24,8,ER,75,1000000,2,Time (s),0.573
Galois,All,24,8,ER,75,1000000,2,Time (s),0.6
Galois,All,24,8,G,75,1000000,2,Time (s),4.917
Galois,All,24,8,G,75,1000000,2,Time (s),4.813
Galois,All,24,8,G,75,1000000,2,Time (s),7.817
Galois,All,24,8,G,75,1000000,2,Time (s),4.885
Galois,All,24,8,G,75,1000000,2,Time (s),4.854
Galois,All,24,8,G,75,1000000,2,Time (s),7.906
Galois,All,24,8,G,75,1000000,2,Time (s),4.93
Galois,All,24,8,G,75,1000000,2,Time (s),4.822
CC,insertion,24,8,G,75,1000000,2,Time (s),0.228035
CC,insertion,24,8,G,75,1000000,2,Time (s),0.231621
CC,insertion,24,8,G,75,1000000,2,Time (s),0.226513
CC,insertion,24,8,G,75,1000000,2,Time (s),0.269697
CC,insertion,24,8,G,75,1000000,2,Time (s),0.251642
CC,insertion,24,8,G,75,1000000,2,Time (s),0.233217
CC,insertion,24,8,G,75,1000000,2,Time (s),0.235283
CC,insertion,24,8,G,75,1000000,2,Time (s),0.227745
CC,deletion,24,8,G,75,1000000,2,Time (s),3.942956
CC,deletion,24,8,G,75,1000000,2,Time (s),3.799229
CC,deletion,24,8,G,75,1000000,2,Time (s),3.797300
CC,deletion,24,8,G,75,1000000,2,Time (s),4.782043
CC,deletion,24,8,G,75,1000000,2,Time (s),3.804795
CC,deletion,24,8,G,75,1000000,2,Time (s),3.874849
CC,deletion,24,8,G,75,1000000,2,Time (s),3.699399
CC,deletion,24,8,G,75,1000000,2,Time (s),4.009012
CC,All,24,8,G,75,1000000,2,Time (s),10.998508
CC,All,24,8,G,75,1000000,2,Time (s),10.763052
CC,All,24,8,G,75,1000000,2,Time (s),10.844463
CC,All,24,8,G,75,1000000,2,Time (s),12.190136
CC,All,24,8,G,75,1000000,2,Time (s),10.679870
CC,All,24,8,G,75,1000000,2,Time (s),10.838891
CC,All,24,8,G,75,1000000,2,Time (s),10.616149
CC,All,24,8,G,75,1000000,2,Time (s),10.938828
Galois,All,24,8,ER,75,1000000,4,Time (s),0.388
Galois,All,24,8,ER,75,1000000,4,Time (s),0.415
Galois,All,24,8,ER,75,1000000,4,Time (s),0.411
Galois,All,24,8,ER,75,1000000,4,Time (s),0.387
Galois,All,24,8,ER,75,1000000,4,Time (s),0.397
Galois,All,24,8,ER,75,1000000,4,Time (s),0.385
Galois,All,24,8,ER,75,1000000,4,Time (s),0.418
Galois,All,24,8,ER,75,1000000,4,Time (s),0.401
Galois,All,24,8,G,75,1000000,4,Time (s),3.505
Galois,All,24,8,G,75,1000000,4,Time (s),2.519
Galois,All,24,8,G,75,1000000,4,Time (s),2.567
Galois,All,24,8,G,75,1000000,4,Time (s),3.384
Galois,All,24,8,G,75,1000000,4,Time (s),2.533
Galois,All,24,8,G,75,1000000,4,Time (s),2.475
Galois,All,24,8,G,75,1000000,4,Time (s),3.593
Galois,All,24,8,G,75,1000000,4,Time (s),2.539
CC,insertion,24,8,G,75,1000000,4,Time (s),0.270124
CC,insertion,24,8,G,75,1000000,4,Time (s),0.269330
CC,insertion,24,8,G,75,1000000,4,Time (s),0.205911
CC,insertion,24,8,G,75,1000000,4,Time (s),0.282965
CC,insertion,24,8,G,75,1000000,4,Time (s),0.197995
CC,insertion,24,8,G,75,1000000,4,Time (s),0.260699
CC,insertion,24,8,G,75,1000000,4,Time (s),0.265284
CC,insertion,24,8,G,75,1000000,4,Time (s),0.196537
CC,deletion,24,8,G,75,1000000,4,Time (s),2.569387
CC,deletion,24,8,G,75,1000000,4,Time (s),2.667160
CC,deletion,24,8,G,75,1000000,4,Time (s),2.500398
CC,deletion,24,8,G,75,1000000,4,Time (s),2.612422
CC,deletion,24,8,G,75,1000000,4,Time (s),2.479000
CC,deletion,24,8,G,75,1000000,4,Time (s),2.640938
CC,deletion,24,8,G,75,1000000,4,Time (s),2.590349
CC,deletion,24,8,G,75,1000000,4,Time (s),2.476071
CC,All,24,8,G,75,1000000,4,Time (s),6.930365
CC,All,24,8,G,75,1000000,4,Time (s),6.804373
CC,All,24,8,G,75,1000000,4,Time (s),6.610399
CC,All,24,8,G,75,1000000,4,Time (s),6.817723
CC,All,24,8,G,75,1000000,4,Time (s),6.650367
CC,All,24,8,G,75,1000000,4,Time (s),6.818305
CC,All,24,8,G,75,1000000,4,Time (s),6.790964
CC,All,24,8,G,75,1000000,4,Time (s),6.600531
Galois,All,24,8,ER,75,1000000,8,Time (s),0.345
Galois,All,24,8,ER,75,1000000,8,Time (s),0.359
Galois,All,24,8,ER,75,1000000,8,Time (s),0.397
Galois,All,24,8,ER,75,1000000,8,Time (s),0.365
Galois,All,24,8,ER,75,1000000,8,Time (s),0.418
Galois,All,24,8,ER,75,1000000,8,Time (s),0.408
Galois,All,24,8,ER,75,1000000,8,Time (s),0.371
Galois,All,24,8,ER,75,1000000,8,Time (s),0.363
Galois,All,24,8,G,75,1000000,8,Time (s),1.507
Galois,All,24,8,G,75,1000000,8,Time (s),1.89
Galois,All,24,8,G,75,1000000,8,Time (s),1.477
Galois,All,24,8,G,75,1000000,8,Time (s),1.442
Galois,All,24,8,G,75,1000000,8,Time (s),1.822
Galois,All,24,8,G,75,1000000,8,Time (s),1.485
Galois,All,24,8,G,75,1000000,8,Time (s),1.556
Galois,All,24,8,G,75,1000000,8,Time (s),1.847
CC,insertion,24,8,G,75,1000000,8,Time (s),0.236779
CC,insertion,24,8,G,75,1000000,8,Time (s),0.220013
CC,insertion,24,8,G,75,1000000,8,Time (s),0.230461
CC,insertion,24,8,G,75,1000000,8,Time (s),0.186881
CC,insertion,24,8,G,75,1000000,8,Time (s),0.214764
CC,insertion,24,8,G,75,1000000,8,Time (s),0.295654
CC,insertion,24,8,G,75,1000000,8,Time (s),0.286744
CC,insertion,24,8,G,75,1000000,8,Time (s),0.225905
CC,deletion,24,8,G,75,1000000,8,Time (s),1.726330
CC,deletion,24,8,G,75,1000000,8,Time (s),1.805737
CC,deletion,24,8,G,75,1000000,8,Time (s),1.934695
CC,deletion,24,8,G,75,1000000,8,Time (s),1.486892
CC,deletion,24,8,G,75,1000000,8,Time (s),1.785396
CC,deletion,24,8,G,75,1000000,8,Time (s),1.827967
CC,deletion,24,8,G,75,1000000,8,Time (s),1.881267
CC,deletion,24,8,G,75,1000000,8,Time (s),1.799116
CC,All,24,8,G,75,1000000,8,Time (s),4.285441
CC,All,24,8,G,75,1000000,8,Time (s),4.344038
CC,All,24,8,G,75,1000000,8,Time (s),4.477686
CC,All,24,8,G,75,1000000,8,Time (s),4.116472
CC,All,24,8,G,75,1000000,8,Time (s),4.363431
CC,All,24,8,G,75,1000000,8,Time (s),4.409666
CC,All,24,8,G,75,1000000,8,Time (s),4.473641
CC,All,24,8,G,75,1000000,8,Time (s),4.201577
Galois,All,24,8,ER,75,1000000,16,Time (s),0.569
Galois,All,24,8,ER,75,1000000,16,Time (s),0.514
Galois,All,24,8,ER,75,1000000,16,Time (s),0.52
Galois,All,24,8,ER,75,1000000,16,Time (s),0.556
Galois,All,24,8,ER,75,1000000,16,Time (s),0.524
Galois,All,24,8,ER,75,1000000,16,Time (s),0.507
Galois,All,24,8,ER,75,1000000,16,Time (s),0.569
Galois,All,24,8,ER,75,1000000,16,Time (s),0.564
Galois,All,24,8,G,75,1000000,16,Time (s),1.136
Galois,All,24,8,G,75,1000000,16,Time (s),1.219
Galois,All,24,8,G,75,1000000,16,Time (s),1.17
Galois,All,24,8,G,75,1000000,16,Time (s),1.198
Galois,All,24,8,G,75,1000000,16,Time (s),1.275
Galois,All,24,8,G,75,1000000,16,Time (s),1.213
Galois,All,24,8,G,75,1000000,16,Time (s),1.149
Galois,All,24,8,G,75,1000000,16,Time (s),1.379
CC,insertion,24,8,G,75,1000000,16,Time (s),0.211425
CC,insertion,24,8,G,75,1000000,16,Time (s),0.185854
CC,insertion,24,8,G,75,1000000,16,Time (s),0.164556
CC,insertion,24,8,G,75,1000000,16,Time (s),0.244151
CC,insertion,24,8,G,75,1000000,16,Time (s),0.171516
CC,insertion,24,8,G,75,1000000,16,Time (s),0.156062
